# input data (refraction index is computed at 500 nm)
# altitude  pressure  temperature  water vapor        bending angle            bending angle    
#                                  mixing ratio       no refraction            with refraction 
#      z                 p          T           q
#     [km]              [hPa]      [K]         [g/kg]             [deg]                      [deg]  
  0.000000000000000    972.2380   316.564   1.40156000e+01   89.999995058439964       89.999995058439964
  0.129883033473984    958.5910   307.787   4.72512000e+00   89.634148909259849       89.599704295426861
  0.386934710320674    931.5230   303.724   4.74618000e+00   89.368552541244412       89.367188488210445
  0.647595760961152    904.8660   307.992   4.77460000e+00   89.183112596982383       89.224193247122130
  0.912569047948387    878.6200   305.301   4.80741000e+00   89.030305061768729       89.081498785783396
  1.176705520354800    852.7880   297.657   4.85644000e+00   88.898895869612502       88.946862074307788
  1.441863726518689    827.3710   299.268   4.91072000e+00   88.781153859521581       88.846725719234115
  1.708868684443355    802.3710   293.401   5.07792000e+00   88.673114651157420       88.739246258146522
  1.977330104296812    777.7890   294.103   5.27493000e+00   88.572714329576570       88.651260999276587
  2.249888969744968    753.6270   293.852   5.67770000e+00   88.477546535906924       88.565386975127566
  2.524467960644282    729.8860   289.903   6.13514000e+00   88.387348443373511       88.478037476537637
  2.799251164758265    706.5650   285.789   6.33361000e+00   88.301878839656837       88.395090160662036
  3.077666552972808    683.6670   289.099   6.34290000e+00   88.219464817696789       88.324731706627503
  3.357083113611818    661.1920   279.474   6.25059000e+00   88.140428677283978       88.240779696632586
  3.640171340536007    639.1400   288.220   6.02358000e+00   88.063646592053757       88.180867146980049
  3.927920541454388    617.5110   280.345   5.68099000e+00   87.988607398752052       88.103185482451835
  4.218676339442873    596.3060   285.771   5.29229000e+00   87.915531607658423       88.041178702084395
  4.518957206769922    575.5250   290.238   4.89179000e+00   87.842664119729506       87.977070340231577
  4.825246189066017    555.1670   288.519   4.43977000e+00   87.770796764550653       87.907851974677115
  5.134653947143101    535.2320   287.383   3.85618000e+00   87.700482574515576       87.840472037829670
  5.447605889437609    515.7200   286.359   3.25775000e+00   87.631490961427289       87.774286133336375
  5.765171045127167    496.6300   287.003   2.64162000e+00   87.563484006049180       87.710014318124450
  6.085417587126997    477.9610   282.336   2.00401000e+00   87.496778679951433       87.643267130185492
  6.409400006201212    459.7120   284.753   1.34435000e+00   87.431062556649351       87.581973929504954
  6.738621336220241    441.8820   282.446   1.04672000e+00   87.365968258374465       87.518138737519649
  7.070740001600416    424.4700   280.561   1.09958000e+00   87.301897349593602       87.455502780601137
  7.406905454755602    407.4740   280.034   8.89501000e-01   87.238564659962677       87.394198294227778
  7.742863845111151    390.8920   271.083   3.76823000e-01   87.176695371391844       87.329977474091038
  8.082566576471796    374.7240   277.100   4.90920000e-02   87.115490854337963       87.273868628569559
  8.427117435827403    358.9660   269.558   3.97107000e-02   87.054717155431717       87.211560915003687
  8.774513377969668    343.6180   272.301   3.42296000e-02   86.994690977048535       87.154599024482323
  9.120914919591086    328.6750   258.652   4.19862000e-02   86.936012584574542       87.091896722276942
  9.462557451776749    314.1370   255.959   4.89732000e-02   86.879225879919431       87.035929838158452
  9.808506885793303    300.0000   255.959   4.02625000e-02   86.822762374902069       86.981288768240972
 10.156567368290705    286.2620   249.924   3.13951000e-02   86.766954332334649       86.924853626418724
 10.507277837119069    272.9190   250.611   2.30095000e-02   86.711684250525281       86.871475707741311
 10.863020713083422    259.9690   247.853   1.45939000e-02   86.656559426328826       86.816857063757567
 11.219175925431163    247.4080   241.957   1.03358000e-02   86.602271498751534       86.761992715740135
 11.580394112849980    235.2340   245.570   9.00835000e-03   86.548088833319568       86.710281790110912
 11.945526350904878    223.4410   237.826   8.13118000e-03   86.494175087378565       86.655177794497703
 12.307142611306094    212.0280   231.780   8.29665000e-03   86.441590447676276       86.601988652632770
 12.671185772419710    200.9890   231.744   8.46538000e-03   86.389431296818216       86.550978911209299
 13.036297100516999    190.3200   223.918   7.84248000e-03   86.337870067789055       86.498320079470744
 13.400424212949066    180.0180   221.437   7.20496000e-03   86.287165709842981       86.448028285466634
 13.766207735022240    170.0780   216.837   6.48527000e-03   86.236923259788554       86.397600417420591
 14.131192803963470    160.4960   211.471   5.71242000e-03   86.187455051836068       86.347758894577751
 14.499563640895577    151.2660   211.708   4.99069000e-03   86.138175098139456       86.299461287932189
 14.868452920399314    142.3850   203.074   4.44456000e-03   86.089452726529487       86.249563127045604
 15.236102288672871    133.8460   201.322   3.88640000e-03   86.041495326771610       86.202063957665416
 15.608399401099627    125.6460   199.219   3.63253000e-03   85.993521202492758       86.154388984470515
 15.982825259281583    117.7770   194.507   3.42828000e-03   85.945849919110472       86.106423092241698
 16.353680973480291    110.2370   186.668   3.22974000e-03   85.899183927156741       86.058836642447531
 16.727369046529770    103.0170   188.432   3.04104000e-03   85.852697110445135       86.013341149874037
 17.109826201280107     96.1138   186.436   2.84779000e-03   85.805657502211147       85.966430972631414
 17.492112215058864     89.5203   179.220   2.72975000e-03   85.759164941363721       85.919121590618929
 17.884337972934450     83.2310   186.746   2.61054000e-03   85.711992170080975       85.873503250893535
 18.298856003850407     77.2395   190.310   2.53789000e-03   85.662701065184379       85.824778176799782
 18.734484778650234     71.5398   195.818   2.50739000e-03   85.611501891218296       85.774100583653393
 19.195025948384480     66.1252   201.709   2.47569000e-03   85.558022667202081       85.720860126939257
 19.680711224470077     60.9895   206.334   2.43932000e-03   85.502319338715949       85.664989074153823
 20.195969593760154     56.1259   214.730   2.40194000e-03   85.443976285749940       85.606500701496330
 20.742626649507169     51.5278   219.518   2.37323000e-03   85.382892268609638       85.544733489274435
 21.319158242094268     47.1882   225.356   2.34834000e-03   85.319342908794454       85.480355597029018
 21.929827128164728     43.1001   232.038   2.33147000e-03   85.252968609030802       85.412980764008964
 22.571926919129041     39.2566   234.452   2.33407000e-03   85.184175749656475       85.342834754616604
 23.229827531235902     35.6504   228.771   2.33655000e-03   85.114706385613204       85.271660871074161
 23.906997361108790     32.2744   232.939   2.33399000e-03   85.044231425191015       85.199805618276756
 24.602171129882237     29.1210   225.600   2.33134000e-03   84.972923049923438       85.126714057180962
 25.315827524959406     26.1829   229.371   2.31677000e-03   84.900769152374011       85.053089440664962
 26.060508660999364     23.4526   229.012   2.30065000e-03   84.826565307435928       84.977230492123141
 26.834226380950970     20.9224   230.299   2.29061000e-03   84.750593981787333       84.899591190051552
 27.625654192187046     18.5847   222.281   2.28160000e-03   84.674020257200240       84.821164857201651
 28.444428399598781     16.4318   228.186   2.28153000e-03   84.595958711994015       84.741478975626620
 29.307614715661884     14.4559   228.078   2.28384000e-03   84.514883396535623       84.658600980869039
 30.217704029226375     12.6492   233.421   2.29025000e-03   84.430700035486296       84.572614226374981
 31.176414033889749     11.0038   232.209   2.30349000e-03   84.343395206604228       84.483369177364224
 32.178881655647743      9.5119   233.334   2.32128000e-03   84.253546784149961       84.391569948072899
 33.235091188654458      8.1655   234.752   2.34544000e-03   84.160401763376811       84.296427614573616
 34.352153181641768      6.9567   236.702   2.36315000e-03   84.063507456434550       84.197486977110898
 35.538776643969520      5.8776   239.152   2.37293000e-03   83.962312460174260       84.094190921680806
 36.787345342997405      4.9204   235.447   2.77341000e-03   83.857667412191518       83.987391950496459
 38.116998930552157      4.0770   242.182   2.43610000e-03   83.748188491967568       83.875747964107504
 39.548481607266574      3.3398   242.376   2.34798000e-03   83.632470222003974       83.757772686755956
 41.110096303309881      2.7009   253.955   2.76233000e-03   83.508632319416407       83.631605629771357
 42.863612111043366      2.1526   267.296   3.07962000e-03   83.372391906694304       83.492870742577395
 44.847493035166764      1.6872   281.711   2.63209000e-03   83.221626349205494       83.339433353313851
 47.055062283188803      1.2972   284.095   3.47807000e-03   83.057797440887867       83.172804298008799
 49.446388718572997      0.9753   280.379   3.70869000e-03   82.884688554148653       82.996864121421538
 52.041932639601683      0.7140   279.539   4.06462000e-03   82.701558758405213       82.810879858237797
 54.882390212561006      0.5064   276.235   4.02184000e-03   82.506411844911000       82.612838051850645
 57.990557506882560      0.3454   269.342   3.90742000e-03   82.298694607853093       82.402195751071361
 61.401574919769722      0.2244   261.341   4.01570000e-03   82.077187880094897       82.177735721249277
 65.196591688653996      0.1370   254.142   1.11043000e-03   81.838026491281269       81.935563456361862
 69.562231240153537      0.0769   251.969   1.81516000e-03   81.571571259298480       81.665953410474984
 74.730458246902572      0.0384   245.589   1.42110000e-03   81.267002618301717       81.358013182121255
 80.962854827394096      0.0161   232.999   1.01694000e-03   80.913800674765824       81.001184091851528
 89.354233464864748      0.0050   245.062   1.00000000e-03   80.459715520904879       80.542830976939300
